driverId,driverRef,code,constructorId,team_code,seasonPoints,yearOfBirth,raceCount,careerWins,careerPodiums
846,norris,NOR,1,MCL,77,1999,132,5,30
857,piastri,PIA,1,MCL,74,2001,50,4,13
830,max_verstappen,VER,9,RBR,69,1997,213,64,114
847,russell,RUS,131,MER,63,1998,132,3,18
844,leclerc,LEC,6,FER,32,1997,151,8,43
863,antonelli,ANT,131,MER,30,2006,4,0,0
1,hamilton,HAM,6,FER,25,1985,360,105,202
848,albon,ALB,3,WIL,18,1996,108,0,2
839,ocon,OCO,210,HAA,14,1996,160,1,4
840,stroll,STR,117,AST,10,1998,170,0,3
842,gasly,GAS,214,ALP,6,1996,157,1,5
807,hulkenberg,HUL,15,ALF,6,1987,231,0,0
860,bearman,BEA,210,HAA,6,2005,7,0,0
852,tsunoda,TSU,9,RBR,5,2000,91,0,0
864,hadjar,HAD,215,ATR,4,2004,4,0,0
832,sainz,SAI,3,WIL,1,1994,210,4,27
4,alonso,ALO,117,AST,0,1981,407,32,106
859,lawson,LAW,215,ATR,0,2002,15,0,0
862,doohan,DOO,214,ALP,0,2003,5,0,0
865,bortoletto,BOR,15,ALF,0,2004,4,0,0